&a / °	I1 / %
0.823	7.5
0.818	7.2
0.813	7.1
0.807	6.9
0.802	6.8
0.797	6.8
0.791	6.4
0.786	6.4
0.781	6.4
0.775	6.4
0.770	6.4
0.765	6.4
0.759	6.4
0.754	6.8
0.749	6.8
0.743	6.8
0.738	6.8
0.733	6.8
0.727	6.8
0.722	6.8
0.717	6.5
0.711	6.4
0.706	6.4
0.701	6.4
0.695	6.4
0.690	6.4
0.684	6.4
0.679	6.4
0.674	6.4
0.668	6.4
0.663	6.4
0.658	6.5
0.652	6.6
0.647	6.8
0.642	6.8
0.636	7.2
0.631	7.5
0.626	7.8
0.620	8.0
0.615	8.4
0.610	8.8
0.604	9.2
0.599	9.9
0.594	10.7
0.588	11.2
0.583	11.8
0.578	12.4
0.572	13.2
0.567	13.9
0.561	14.6
0.556	15.4
0.551	16.6
0.545	17.9
0.540	19.5
0.535	21.1
0.529	22.8
0.524	24.8
0.519	27.1
0.513	29.2
0.508	31.6
0.503	34.0
0.497	36.5
0.492	38.7
0.487	40.9
0.481	43.0
0.476	45.2
0.471	47.2
0.465	49.2
0.460	50.6
0.455	51.9
0.449	52.7
0.444	53.4
0.438	53.9
0.433	54.7
0.428	55.4
0.422	55.8
0.417	55.3
0.412	54.1
0.406	52.6
0.401	51.8
0.396	51.5
0.390	51.6
0.385	51.5
0.380	51.3
0.374	50.8
0.369	50.0
0.364	48.8
0.358	47.5
0.353	45.9
0.348	44.4
0.342	42.8
0.337	41.4
0.332	40.0
0.326	38.4
0.321	36.6
0.316	34.7
0.310	32.8
0.305	31.2
0.299	29.6
0.294	28.4
0.289	27.3
0.283	26.6
0.278	25.6
0.273	24.9
0.267	24.1
0.262	23.3
0.257	22.5
0.251	21.9
0.246	21.4
0.241	20.9
0.235	20.4
0.230	20.0
0.225	19.6
0.219	18.9
0.214	18.4
0.209	18.0
0.203	17.3
0.198	16.8
0.193	16.1
0.187	15.7
0.182	15.2
0.176	14.8
0.171	14.4
0.166	14.0
0.160	13.6
0.155	13.3
0.150	13.0
0.144	12.7
0.139	12.3
0.134	12.0
0.128	12.0
0.123	12.0
0.118	12.0
0.112	11.9
0.107	11.6
0.102	11.5
0.096	11.2
0.091	11.2
0.086	11.1
0.080	11.0
0.075	10.9
0.070	10.8
0.064	10.8
0.059	10.8
0.053	10.8
0.048	10.8
0.043	10.8
0.037	10.8
0.032	10.9
0.027	11.2
0.021	11.5
0.016	11.6
0.011	11.6
0.005	11.6
0.000	11.6
-0.005	11.3
-0.011	10.9
-0.016	10.6
-0.021	10.3
-0.027	10.2
-0.032	10.0
-0.037	10.0
-0.043	10.0
-0.048	10.0
-0.053	10.0
-0.059	10.0
-0.064	10.0
-0.070	10.0
-0.075	10.0
-0.080	10.0
-0.086	10.0
-0.091	10.1
-0.096	10.1
-0.102	10.3
-0.107	10.3
-0.112	10.4
-0.118	10.4
-0.123	10.4
-0.128	10.4
-0.134	10.6
-0.139	10.7
-0.144	10.8
-0.150	10.9
-0.155	11.2
-0.160	11.2
-0.166	11.6
-0.171	11.6
-0.176	11.6
-0.182	11.6
-0.187	12.0
-0.193	12.4
-0.198	12.8
-0.203	12.8
-0.209	13.2
-0.214	13.6
-0.219	13.9
-0.225	14.0
-0.230	14.4
-0.235	14.5
-0.241	14.8
-0.246	14.8
-0.251	15.2
-0.257	15.3
-0.262	15.6
-0.267	15.7
-0.273	16.0
-0.278	16.1
-0.283	16.5
-0.289	16.9
-0.294	17.6
-0.299	18.4
-0.305	19.2
-0.310	19.9
-0.316	20.7
-0.321	21.3
-0.326	22.0
-0.332	22.8
-0.337	23.6
-0.342	24.4
-0.348	25.2
-0.353	26.0
-0.358	27.1
-0.364	28.3
-0.369	29.6
-0.374	30.8
-0.380	32.2
-0.385	33.6
-0.390	35.1
-0.396	36.3
-0.401	37.9
-0.406	39.3
-0.412	40.7
-0.417	42.2
-0.422	43.7
-0.428	45.1
-0.433	46.4
-0.438	47.6
-0.444	48.8
-0.449	50.0
-0.455	51.0
-0.460	52.0
-0.465	53.2
-0.471	54.1
-0.476	54.9
-0.481	55.5
-0.487	56.0
-0.492	56.1
-0.497	56.1
-0.503	55.9
-0.508	55.6
-0.513	54.8
-0.519	54.0
-0.524	52.8
-0.529	51.4
-0.535	49.6
-0.540	47.6
-0.545	45.3
-0.551	43.1
-0.556	40.5
-0.561	37.9
