																
grün1			Rot1			Rot2			Türkis			violett			violettx2	
&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %
2.410	15.3		2.410	18.7		2.410	14.4		2.410	14.0		2.410	14.9		2.410	15.1
2.408	15.3		2.408	18.8		2.408	14.4		2.408	14.0		2.408	14.9		2.408	15.1
2.405	15.3		2.405	18.8		2.405	14.4		2.405	14.0		2.405	14.9		2.405	15.1
2.402	15.3		2.402	18.7		2.402	14.4		2.402	14.0		2.402	14.9		2.402	15.1
2.400	15.3		2.400	18.8		2.400	14.4		2.400	14.0		2.400	14.9		2.400	15.1
2.397	15.3		2.397	18.8		2.397	14.4		2.397	14.0		2.397	14.9		2.397	15.1
2.394	15.3		2.394	18.7		2.394	14.4		2.394	14.0		2.394	14.9		2.394	15.1
2.392	15.3		2.392	18.7		2.392	14.4		2.392	14.0		2.392	14.9		2.392	15.1
2.389	15.3		2.389	18.7		2.389	14.4		2.389	14.0		2.389	14.9		2.389	15.1
2.386	15.3		2.386	18.7		2.386	14.4		2.386	14.0		2.386	14.9		2.386	15.1
2.384	15.3		2.384	18.7		2.384	14.4		2.384	14.0		2.384	14.9		2.384	15.1
2.381	15.3		2.381	18.7		2.381	14.4		2.381	14.0		2.381	14.9		2.381	15.1
2.378	15.3		2.378	18.7		2.378	14.4		2.378	14.0		2.378	14.9		2.378	15.1
2.376	15.3		2.376	18.7		2.376	14.4		2.376	14.0		2.376	14.9		2.376	15.1
2.373	15.3		2.373	18.7		2.373	14.4		2.373	14.0		2.373	14.9		2.373	15.1
2.370	15.3		2.370	18.7		2.370	14.4		2.370	14.0		2.370	14.9		2.370	15.1
2.368	15.3		2.368	18.7		2.368	14.4		2.368	14.0		2.368	14.9		2.368	15.1
2.365	15.2		2.365	18.7		2.365	14.4		2.365	14.0		2.365	14.8		2.365	15.1
2.362	15.2		2.362	18.7		2.362	14.4		2.362	14.0		2.362	14.8		2.362	15.1
2.360	15.3		2.360	18.7		2.360	14.4		2.360	14.0		2.360	14.8		2.360	15.1
2.357	15.2		2.357	18.7		2.357	14.4		2.357	14.0		2.357	14.8		2.357	15.1
2.354	15.3		2.354	18.7		2.354	14.4		2.354	14.0		2.354	14.8		2.354	15.1
